datetime,signal,indicadores
2025-04-14 14:30:00+00:00,NEUTRA,[]
2025-04-14 15:30:00+00:00,NEUTRA,[]
2025-04-14 16:30:00+00:00,NEUTRA,[]
2025-04-14 17:30:00+00:00,NEUTRA,[]
2025-04-14 18:30:00+00:00,NEUTRA,[]
2025-04-14 19:30:00+00:00,NEUTRA,[]
2025-04-15 13:30:00+00:00,NEUTRA,[]
2025-04-15 14:30:00+00:00,NEUTRA,[]
2025-04-15 15:30:00+00:00,NEUTRA,[]
2025-04-15 16:30:00+00:00,NEUTRA,[]
2025-04-15 17:30:00+00:00,NEUTRA,[]
2025-04-15 18:30:00+00:00,NEUTRA,[]
2025-04-15 19:30:00+00:00,NEUTRA,[]
2025-04-16 13:30:00+00:00,NEUTRA,[]
2025-04-16 14:30:00+00:00,NEUTRA,[]
2025-04-16 15:30:00+00:00,NEUTRA,[]
2025-04-16 16:30:00+00:00,NEUTRA,[]
2025-04-16 17:30:00+00:00,NEUTRA,[]
2025-04-16 18:30:00+00:00,NEUTRA,[]
2025-04-16 19:30:00+00:00,NEUTRA,[]
2025-04-17 13:30:00+00:00,NEUTRA,[]
2025-04-17 14:30:00+00:00,NEUTRA,[]
2025-04-17 15:30:00+00:00,NEUTRA,[]
2025-04-17 16:30:00+00:00,NEUTRA,[]
2025-04-17 17:30:00+00:00,NEUTRA,[]
2025-04-17 18:30:00+00:00,NEUTRA,[]
2025-04-17 19:30:00+00:00,NEUTRA,[]
2025-04-21 13:30:00+00:00,NEUTRA,[]
2025-04-21 14:30:00+00:00,NEUTRA,[]
2025-04-21 15:30:00+00:00,NEUTRA,[]
2025-04-21 16:30:00+00:00,NEUTRA,[]
2025-04-21 17:30:00+00:00,NEUTRA,[]
2025-04-21 18:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-04-21 19:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-04-22 13:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-04-22 14:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-04-22 15:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-04-22 16:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-04-22 17:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-04-22 18:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-04-22 19:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-04-23 13:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-04-23 14:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-04-23 15:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-04-23 16:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-04-23 17:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-04-23 18:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-04-23 19:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-04-24 13:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-04-24 14:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-04-24 15:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-04-24 16:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-04-24 17:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-04-24 18:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-04-24 19:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-04-25 13:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-04-25 14:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-04-25 15:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-04-25 16:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-04-25 17:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-04-25 18:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-04-25 19:30:00+00:00,NEUTRA,['MACD cruce alcista']
2025-04-28 13:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-04-28 14:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-04-28 15:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-04-28 16:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-04-28 17:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-04-28 18:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-04-28 19:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-04-29 13:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-04-29 14:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-04-29 15:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-04-29 16:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-04-29 17:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-04-29 18:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-04-29 19:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-04-30 13:30:00+00:00,NEUTRA,['MACD cruce bajista']
2025-04-30 14:30:00+00:00,NEUTRA,['MACD cruce bajista']
